"Pattern1"	"Pattern2"	"Pattern3"	"Pattern4"	"Pattern5"	"MAP"	"PPDE"
"ENSMUSG00000033998_Kcnk1"	0.000274906257739761	1.9173383906793e-06	8.20535435935075e-05	0.991259689455021	0.00838143340525543	"Pattern4"	0.99972509374226
"ENSMUSG00000054720_Lrrc8c"	0.000308306390990674	0.998494391091515	1.92858947029702e-05	3.67086156904519e-06	0.00117434576122251	"Pattern2"	0.999691693609009
"ENSMUSG00000067702_Tuba3a"	0.000341201786344013	0.938719197270561	2.80008683456016e-05	0.0253274910542067	0.0355841090205425	"Pattern2"	0.999658798213656
"ENSMUSG00000043760_Pkhd1"	0.000389565619125953	1.83326864149289e-06	8.79936781471694e-06	0.996944689608328	0.00265511213609	"Pattern4"	0.999610434380874
"ENSMUSG00000038587_Akap12"	0.000399533764630323	0.991507621577805	0.00451498214976508	2.30767105315709e-07	0.0035776317406939	"Pattern2"	0.99960046623537
"ENSMUSG00000022579_Gpihbp1"	0.000402143379067879	0.000832829848357891	9.97512104477989e-07	0.997176935516146	0.00158709374432371	"Pattern4"	0.999597856620932
"ENSMUSG00000036523_Greb1"	0.000460672441190429	2.41883186608584e-06	4.31996598398074e-06	0.997572588530461	0.00196000023049874	"Pattern4"	0.999539327558809
"ENSMUSG00000077450_Rab11b"	0.000473516255223124	4.5287472812746e-05	0.998723299012106	3.44321777518585e-06	0.000754454042082588	"Pattern3"	0.999526483744777
"ENSMUSG00000029155_Spata18"	0.000499197706556055	3.92916601999423e-20	5.82420185864641e-07	0.9995002198731	1.58616634000877e-13	"Pattern4"	0.999500802293444
"ENSMUSG00000031803_B3gnt3"	0.000536937780851607	0.0019633431183539	2.71001393677901e-06	0.993898438333103	0.00359857075375461	"Pattern4"	0.999463062219148
"ENSMUSG00000012350_Ehf"	0.000543366311701976	3.55428638976711e-06	2.7467270000362e-05	0.994937714021626	0.00448789811028218	"Pattern4"	0.999456633688298
"ENSMUSG00000066880_Zfp617"	0.000587874523413556	2.34963815398346e-05	1.86033146659712e-06	0.999121823936494	0.000264944827085824	"Pattern4"	0.999412125476586
"ENSMUSG00000059908_Mug1"	0.000716013456566546	0.996317600160246	1.05418590421481e-06	8.71289069433601e-05	0.00287820329034041	"Pattern2"	0.999283986543434
"ENSMUSG00000027223_Mapk8ip1"	0.000747096790568007	0.99583310716348	3.31684283994426e-06	0.001239344077349	0.0021771351257635	"Pattern2"	0.999252903209432
"ENSMUSG00000063065_Mapk3"	0.000759497483628788	7.74293301085646e-06	3.04265762842518e-05	0.998774454635802	0.000427878371274187	"Pattern4"	0.999240502516371
"ENSMUSG00000033032_Afap1l1"	0.000766025701836547	0.0610147530422805	9.73844441923313e-07	0.923630120799492	0.014588126611949	"Pattern4"	0.999233974298163
"ENSMUSG00000020142_Slc1a4"	0.000785309408943528	0.997975858398679	1.32044836485119e-06	0.00028221645520577	0.000955295288806927	"Pattern2"	0.999214690591056
"ENSMUSG00000020486_Sept4"	0.000790170794737801	1.62656999019792e-06	0.413979853627084	0.522142948881771	0.0630854001264175	"Pattern4"	0.999209829205262
"ENSMUSG00000034227_Foxj1"	0.00083455884860019	2.08265125036737e-06	2.51615552203958e-05	0.997140420601543	0.00199777634338618	"Pattern4"	0.9991654411514
"ENSMUSG00000074336_Apoc4"	0.000918060924701395	0.993540928141072	3.61744939526637e-06	0.000197201322450111	0.00534019216238168	"Pattern2"	0.999081939075299
